bahan;warna_kemeja;tipe_kerah;tipe_lengan;motif;posisi_motif;warna_motif;harga;penjualan
Katun Oxford;Hijau;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Army;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Coklat Muda;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Coklat;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Khaki;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Coklat Tua;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Hijau Tua;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Abu Muda;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Maroon;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Abu Tua;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Army;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Coklat;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Terracotta;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Hitam;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Tinggi
Katun Oxford;Hijau;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Abu Muda;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Coklat;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;114000;Rendah
Katun Oxford;Hitam;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Abu Tua;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Tinggi
Katun Oxford;Navy;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Khaki;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Khaki;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;114000;Rendah
Katun Oxford;Maroon;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Hitam;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Putih;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Tinggi
Katun Oxford;Hijau;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Tinggi
Katun Oxford;Biru;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Abu;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Army;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Tinggi
Katun Oxford;Hijau;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Maroon;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;2 Line;Dada Kanan;Biru;129000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;3 Square;Dada Kanan;Krem Putih;129000;Tinggi
Katun Oxford;Krem;Straight Collar;Lengan Pendek;3 Square;Dada Kanan;Kuning Navy;129000;Tinggi
Katun Oxford;Biru;Straight Collar;Lengan Pendek;Sirip Hiu;Depan Full;Putih Navy Coklat;129000;Tinggi
Katun Oxford;Navy;Straight Collar;Lengan Pendek;3 Line;Dada Horizontal;Putih Biru;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;Line;Kerah;Navy;129000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Panjang;Line;Kerah;Putih;149000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Line;Kerah;Hitam;149000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Line Square Pattern;Kancing Dalam;Hitam Putih;149000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Panjang;Line Square Pattern;Kancing Dalam;Hitam Putih;149000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Panjang;2 Line;Dada Horizontal;Biru;149000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;Line;Kerah;Hitam;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Panjang;2 Line;Dada Horizontal;Hitam;149000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Line;Lengan Horizontal;Merah;149000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;2 Line;Kerah Saku Kiri Horizontal;Hitam;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;Line;Kancing Kerah Dalam;Hitam Putih;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;Line Curved Pattern;Saku Kiri Horizontal;Hitam Putih;129000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Panjang;Line;Lengan Horizontal;Biru Putih Navy;149000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;Line;Kerah Lengan Horizontal;Merah;129000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;2 Line;Dada Diagonal;Biru Putih;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;3 Line;Dada Horizontal;Navy Biru;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Square;Dada Kanan;Navy Biru;149000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;Line Area;Dada Diagonal;Hitam Biru;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Line;Kerah Dalam;Hitam;149000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;3 Line;Saku Kiri Horizontal;Hitam;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;2 Line;Dada Lengan Kiri;Navy Abu;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Panjang;Line;Saku Kiri Horizontal;Hitam;149000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;2 Line;Dada Horizontal;Hitam Abu;129000;Tinggi
Katun Oxford;Putih;Straight Collar;Lengan Pendek;Line Rectangular;Dada Horizontal;Biru Hitam;129000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Panjang;Stripes;Lengan Kiri Horizontal;Krem Merah Biru;149000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;Line;Dada Horizontal;Biru;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;3 Line;Dada Horizontal;Biru Putih;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;Line Rectangular;Dada Horizontal;Biru Navy;129000;Tinggi
Katun Oxford;Abu;Straight Collar;Lengan Pendek;2 Line;Dada Kiri;Hitam;129000;Tinggi
Katun Oxford;Abu;Straight Collar;Lengan Pendek;2 Line;Dada Horizontal;Hitam Putih;129000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;Area;Dada Diagonal;Hitam Putih;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;Area;Dada Diagonal;Navy Putih;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;Line;Dada Diagonal;Hitam Abu;129000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;3 Line;Dada Diagonal;Hitam Putih;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;Line;Kancing Kerah Dalam;Navy;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Panjang;Line;Lengan Kiri Horizontal;Krem Merah Biru;149000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;Line;Dada Horizontal;Hitam Abu;129000;Rendah
Katun Oxford;Biru;Straight Collar;Lengan Pendek;2 Line;Dada Horizontal;Putih Navy;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;2 Line;Dada Horizontal;Abu Navy;129000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;Square;Dada Kiri;Putih Biru;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Pendek;Line;Dada Horizontal;Navy;129000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;Line;Dada Horizontal;Putih;129000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Abu;179000;Rendah
Katun Linen;Maroon;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Merah;179000;Rendah
Katun Linen;Hijau;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Hitam;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Putih Abu;179000;Tinggi
Katun Linen;Hijau;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Hijau;179000;Rendah
Katun Linen;Coklat;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Putih Maroon;159000;Tinggi
Katun Linen;Coklat;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Putih Maroon;159000;Rendah
Katun Linen;Krem;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Coklat Navy;179000;Rendah
Katun Linen;Navy;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Biru;179000;Rendah
Katun Linen;Maroon;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Merah;179000;Rendah
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Coklat Oren;179000;Rendah
Katun Linen;Maroon;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Putih;179000;Tinggi
Katun Linen;Hitam;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Hitam;159000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Krem;159000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Hitam;159000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Krem Hitam;179000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Hiitam;179000;Rendah
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Putih Coklat;179000;Rendah
Katun Linen;Krem;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Coklat Oren;179000;Rendah
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Hitam;179000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Biru;179000;Tinggi
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Hitam;179000;Rendah
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Putih Merah Hitam;179000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Hitam Hijau;159000;Rendah
Katun Linen;Biru;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Navy Biru;159000;Tinggi
Katun Linen;Terracotta;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Putih;159000;Tinggi
Katun Linen;Hitam;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Putih;159000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Putih Coklat;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Putih Hitam;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Putih Hitam;159000;Tinggi
Katun Linen;Maroon;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Putih Merah;159000;Tinggi
Katun Linen;Biru;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Putih Biru;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Hitam;159000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Oren;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Putih Hitam;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Hitam Kuning;179000;Tinggi
Katun Linen;Maroon;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Merah Hitam;179000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Putih Krem;179000;Rendah
Katun Linen;Navy;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Putih Navy;179000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Putih Krem;159000;Tinggi
Katun Linen;Biru;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Biru Hitam;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Hitam;179000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Navy;179000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Navy;179000;Tinggi
Katun Linen;Krem;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Hitam;179000;Rendah
Katun Linen;Navy;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Vertikal;Hitam;179000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Putih Coklat;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Hitam;159000;Rendah
Katun Linen;Krem;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Hitam;159000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Navy;159000;Tinggi
Katun Linen;Putih;Shanghai Collar;Lengan Panjang;2 Line;Dada Horizontal;Krem Putih;179000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Square;Dada Horizontal;Navy Abu;179000;Rendah
Katun Linen;Navy;Shanghai Collar;Lengan Panjang;Square;Dada Horizontal;Abu Navy;179000;Rendah
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;2 Line;Dada Horizontal;Navy Kuning;179000;Rendah
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Navy;179000;Rendah
Katun Linen;Olive;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Kuning Navy;179000;Tinggi
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;2 Line;Dada Horizontal;Navy;179000;Tinggi
Katun Linen;Biru;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Biru Navy;179000;Tinggi
Katun Linen;Maroon;Shanghai Collar;Lengan Pendek;Koko Pattern;Tengah Vertikal;Hitam;159000;Tinggi
Katun Linen;Navy;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Navy;159000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Hitam;159000;Rendah
Katun Linen;Navy;Shanghai Collar;Lengan Pendek;Koko Pattern;Dada Horizontal;Navy;159000;Rendah
Katun Linen;Biru;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Navy;179000;Tinggi
Katun Linen;Biru;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Biru;179000;Tinggi
Katun Linen;Biru;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Abu;179000;Rendah
Katun Linen;Tosca;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;179000;Rendah
Katun Linen;Navy;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Hitam;179000;Rendah
Katun Linen;Krem;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Navy;179000;Tinggi
Katun Linen;Putih;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Navy;179000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Tengah Horizontal;Putih Hitam;179000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Navy;179000;Tinggi
Katun Linen;Coklat;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Kuning Navy;179000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Hitam;179000;Tinggi
Katun Linen;Abu;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Hitam;179000;Tinggi
Katun Linen;Navy;Shanghai Collar;Lengan Panjang;Koko Pattern;Dada Horizontal;Putih Navy;179000;Tinggi
Katun Linen;Putih;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Navy;179000;Tinggi
Katun Pique;Navy;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Tinggi
Katun Pique;Coklat Muda;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Pique;Coklat Muda;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Tinggi
Katun Pique;Beige;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Rendah
Katun Pique;Beige;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Pique;Coklat;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Rendah
Katun Pique;Kuning;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Rendah
Katun Pique;Coklat;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Pique;Kuning;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Pique;Putih;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Pique;Abu;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Tinggi
Katun Pique;Hitam;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Tinggi
Katun Pique;Maroon;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Tinggi
Katun Pique;Putih;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Tinggi
Katun Pique;Army;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;169000;Tinggi
Katun Pique;Navy;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Pique;Abu;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Pique;Army;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Pique;Hitam;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Hitam;Straight Collar;Lengan Panjang;Square Pattern;Full;Abu;169000;Rendah
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Biru;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Coklat Putih;169000;Rendah
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Maroon;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Hijau;169000;Rendah
Kain Flanel;Maroon;Straight Collar;Lengan Pendek;Square Pattern;Full;Navy;149000;Rendah
Kain Flanel;Salem;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam Putih;169000;Rendah
Kain Flanel;Biru;Straight Collar;Lengan Panjang;Square Pattern;Full;Hijau Putih;169000;Rendah
Kain Flanel;Kuning;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Coklat;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
