bahan;warna_kemeja;tipe_kerah;tipe_lengan;motif;posisi_motif;warna_motif;harga;penjualan
Kain Flanel;Hitam;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Maroon;Straight Collar;Lengan Panjang;Square Pattern;Full;Kuning Putih;169000;Rendah
Kain Flanel;Kuning;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Hijau;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Abu;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Hijau;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Hitam;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Coklat;Straight Collar;Lengan Panjang;Square Pattern;Full;Salem;169000;Tinggi
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Salem;169000;Tinggi
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Biru;169000;Rendah
Kain Flanel;Merah;Straight Collar;Lengan Panjang;Square Pattern;Full;Putih;169000;Rendah
Kain Flanel;Navy;Straight Collar;Lengan Panjang;Square Pattern;Full;Merah;169000;Rendah
Kain Flanel;Oren;Straight Collar;Lengan Panjang;Square Pattern;Full;Coklat;169000;Rendah
Kain Flanel;Hijau;Straight Collar;Lengan Panjang;Square Pattern;Full;Hitam;169000;Rendah
Katun Yarndyed;Navy;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Hitam;149000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Biru;99000;Rendah
Katun Yarndyed;Hitam;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Abu;99000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Navy;129000;Rendah
Katun Yarndyed;Coklat;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Krem;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Putih;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Navy;129000;Tinggi
Katun Yarndyed;Merah;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;119000;Rendah
Katun Yarndyed;Kuning;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;119000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Merah;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Merah;149000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Biru;119000;Rendah
Katun Yarndyed;Hijau;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Abu;119000;Rendah
Katun Yarndyed;Putih;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Hijau;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Kuning Putih;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Putih Biru;119000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Putih Merah;119000;Rendah
Katun Yarndyed;Kuning;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Pink;129000;Rendah
Katun Oxford;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Putih;129000;Rendah
Katun Yarndyed;Hitam;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru Kuning;129000;Rendah
Katun Yarndyed;Navy;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Merah Biru;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru Krem;129000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Hitam;129000;Tinggi
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Abu Merah;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Putih;99000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Panjang;Stripes;Dada Horizontal;Hitam;149000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Navy Biru;129000;Rendah
Katun Yarndyed;Biru;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;149000;Rendah
Katun Yarndyed;Coklat;Straight Collar;Lengan Panjang;Stripes;Full Vertikal;Putih;119000;Rendah
Katun Yarndyed;Putih;Straight Collar;Lengan Pendek;Stripes;Dada Horizontal;Biru Abu;149000;Rendah
Katun Yarndyed;Abu;Straight Collar;Lengan Pendek;Stripes;Full Vertikal;Biru;99000;Rendah
Katun Soft Twill;Abu;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Soft Twill;Terracotta;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Coklat;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Krem;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Maroon;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Abu;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Merah;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Soft Twill;Maroon;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Soft Twill;Hitam;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Soft Twill;Navy;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Soft Twill;Abu;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Soft Twill;Khaki;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Soft Twill;Army;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun;Abu;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;114000;Rendah
Katun;Merah;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Abu;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Navy;149000;Rendah
Katun;Coklat;Shanghai Collar;Lengan Panjang;Line;Dada Diagonal;Hitam;149000;Rendah
Katun;Hitam;Shanghai Collar;Lengan Panjang;Square;Dada Lengan Kiri;Abu;149000;Rendah
Katun Oxford;Coklat;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun;Navy;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Pink;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Yarndyed;Merah;Shanghai Collar;Lengan Panjang;Stripes;Dada Horizontal;Kuning Pink Muda;149000;Rendah
Katun;Navy;Shanghai Collar;Lengan Panjang;Line;Dada Horizontal;Kuning Putih;149000;Rendah
Katun Soft Twill;Coklat;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Army;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun;Pink;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Soft Twill;Hijau;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Kain Flanel;Hijau;Shanghai Collar;Lengan Panjang;Square Pattern;Full Vertikal;Hitam Putih;169000;Rendah
Katun;Coklat;Shanghai Collar;Lengan Panjang;Square Pattern;Full Vertikal;Hitam Putih;169000;Rendah
Katun;Hitam;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Navy;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Putih;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun;Khaki;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Army;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun;Biru;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Soft Twill;Navy;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Soft Twill;Hitam;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Soft Twill;Maroon;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Maroon;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun;Coklat;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Army;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Tinggi
Katun;Hitam;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Navy;Shanghai Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Tosca;Shanghai Collar;Lengan Panjang;Stripes;Full Horizontal;Putih;149000;Rendah
Katun Yarndyed;Biru;Shanghai Collar;Lengan Panjang;Stripes;Dada Horizontal;Abu Putih;149000;Tinggi
Katun;Abu;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Biru;Shanghai Collar;Lengan Panjang;Area;Lengan;Navy;149000;Tinggi
Katun Oxford;Abu;Shanghai Collar;Lengan Panjang;Area;Lengan;Hitam;149000;Tinggi
Katun Yarndyed;Navy;Shanghai Collar;Lengan Pendek;Stripes;Dada Horizontal;Krem Tosca;99000;Rendah
Katun Yarndyed;Hitam;Shanghai Collar;Lengan Pendek;Stripes;Dada Horizontal;Merah Kuning;99000;Rendah
Katun Yarndyed;Putih;Shanghai Collar;Lengan Panjang;Stripes;Full Vertikal;Hitam;149000;Rendah
Katun Yarndyed;Merah;Shanghai Collar;Lengan Panjang;Stripes;Full Vertikal;Hitam;149000;Rendah
Katun Oxford;Maroon;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun;Biru;Shanghai Collar;Lengan Pendek;Line;Dada Horizontal;Army;129000;Rendah
Katun Oxford;Beige;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Mint;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Hitam;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Biru;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Pink;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Abu;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Putih;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Navy;Shanghai Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun;Abu;Shanghai Collar;Lengan Pendek;2 Line;Dada Horizontal;Hitam;129000;Rendah
Katun Yarndyed;Biru;Shanghai Collar;Lengan Pendek;Stripes;Dada Horizontal;Hitam Merah;129000;Rendah
Katun Oxford;Putih;Shanghai Collar;Lengan Panjang;Stripes;Full Vertikal;Biru;149000;Rendah
Katun Rayon Twill;Hijau;Cuban Collar;Lengan Pendek;Abstrak;Full;Navy Putih;119000;Rendah
Katun Rayon Twill;Hitam;Cuban Collar;Lengan Pendek;Abstrak;Full;Putih;119000;Rendah
Katun Rayon Twill;Hitam;Cuban Collar;Lengan Pendek;Abstrak;Full;Putih;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Abstrak;Full;Hitam;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Abstrak;Full;Hijau Kuning;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Abstrak;Full;Hijau Kuning;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Flower;Full;Biru Coklat;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Flower;Full;Biru Merah;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Abstrak;Full;Coklat;119000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Flower;Full;Biru Merah;119000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Flower;Full;Merah Hijau;119000;Rendah
Katun Rayon Twill;Navy;Cuban Collar;Lengan Pendek;Flower;Full;Putih Kuning Hijau;119000;Rendah
Katun Rayon Twill;Krem;Cuban Collar;Lengan Pendek;Abstrak;Full;Merah Hijau;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Abstrak;Full;Hitam;119000;Rendah
Katun Rayon Twill;Kuning;Straight Collar;Lengan Pendek;Flower;Full;Merah Kuning Hijau;119000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Blood;Full;Maroon;119000;Rendah
Katun Rayon Twill;Navy;Straight Collar;Lengan Pendek;Flower;Full;Hijau;119000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Diamond;Full;Hitam;119000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Leaf;Full;Hitam Oren Hijau;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Leaf;Full;Biru;99000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Leaf;Full;Hijau;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Flower;Full;Merah;119000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Flower;Full;Coklat Navy;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Abstrak;Full;Hitam;119000;Rendah
Katun Rayon Twill;Navy;Cuban Collar;Lengan Pendek;Abstrak;Full;Biru;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Flower;Full;Biru;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Flower;Full;Hijau;119000;Rendah
Katun Rayon Twill;Putih;Straight Collar;Lengan Pendek;Flower;Full;Hitam Biru Merah;119000;Rendah
Katun Rayon Twill;Navy;Cuban Collar;Lengan Pendek;Abstrak;Full;Biru;119000;Rendah
Katun Rayon Twill;Putih;Cuban Collar;Lengan Pendek;Abstrak;Full;Biru;119000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Flower;Full;Merah;119000;Rendah
Katun;Hitam;Straight Collar;Lengan Pendek;Abstrak;Full;Kuning Merah Putih;119000;Rendah
Katun;Putih;Straight Collar;Lengan Pendek;Abstrak;Full;Hijau Biru;119000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Tie Die;Full;Biru Hijau;119000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Abstrak;Full;Kuning Coklat;119000;Rendah
Katun;Putih;Straight Collar;Lengan Pendek;Flower;Full;Merah Biru Kuning;119000;Rendah
Katun;Krem;Straight Collar;Lengan Pendek;Abstrak;Full;Olive Coklat;119000;Tinggi
Katun;Hitam;Straight Collar;Lengan Pendek;Flower;Full;Putih Merah;119000;Rendah
Katun;Tosca;Cuban Collar;Lengan Pendek;Flower;Full;Hijau Kuning;119000;Tinggi
Katun;Putih;Straight Collar;Lengan Pendek;Flower;Full;Hijau Biru;119000;Rendah
Katun;Hitam;Straight Collar;Lengan Pendek;Flower;Full;Putih;119000;Tinggi
Katun;Tosca;Cuban Collar;Lengan Pendek;Flower;Full;Hijau Pink;119000;Rendah
Katun;Putih;Cuban Collar;Lengan Pendek;Flower;Full;Hitam;119000;Tinggi
Katun;Putih;Cuban Collar;Lengan Pendek;Flower;Full;Hijau;119000;Tinggi
Katun;Krem;Straight Collar;Lengan Pendek;Flower;Full;Merah Navy Biru;119000;Rendah
Katun;Putih;Straight Collar;Lengan Pendek;Flower;Full;Biru;119000;Rendah
Katun;Biru;Straight Collar;Lengan Pendek;Flower;Full;Merah Biru Hijau;119000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Flower;Full;Biru Putih;119000;Rendah
Katun;Tosca;Straight Collar;Lengan Pendek;Flower;Full;Navy Merah;119000;Rendah
Katun;Biru Muda;Straight Collar;Lengan Pendek;Flower;Full;Navy Pink;119000;Rendah
Katun;Putih;Straight Collar;Lengan Pendek;Flower;Depan Vertikal;Hitam;119000;Rendah
Katun;Hitam;Cuban Collar;Lengan Pendek;Flower;Full;Biru;99000;Rendah
Katun;Biru;Straight Collar;Lengan Panjang;Batik;Full;Navy Hitam;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Biru Coklat;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Area Atas;Coklat Krem;169000;Rendah
Katun;Navy;Straight Collar;Lengan Panjang;Batik;Full;Putih Navy;169000;Rendah
Katun;Krem;Straight Collar;Lengan Panjang;Batik;Full;Abu Hitam;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Krem Coklat;169000;Rendah
Katun;Putih;Straight Collar;Lengan Panjang;Batik;Full;Coklat Kuning;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Area Atas;Biru Kuning;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Biru Putih;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Coklat Krem;169000;Rendah
Katun;Navy;Straight Collar;Lengan Panjang;Batik;Full;Putih Biru;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Putih Coklat;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Area Atas;Coklat Biru;169000;Rendah
Katun;Navy;Straight Collar;Lengan Panjang;Batik;Area Atas;Coklat Putih;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Putih Coklat;169000;Tinggi
Katun;Biru;Straight Collar;Lengan Pendek;Batik;Full;Tosca Merah;109000;Rendah
Katun;Merah;Straight Collar;Lengan Pendek;Batik;Full;Tosca Biru;109000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Batik;Full;Coklat Putih;149000;Rendah
Katun;Hitam;Straight Collar;Lengan Pendek;Batik;Full;Coklat Putih;149000;Rendah
Katun;Hitam;Straight Collar;Lengan Pendek;Batik;Full;Krem Biru;149000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Batik;Full;Coklat Merah;149000;Rendah
Katun;Hitam;Straight Collar;Lengan Pendek;Batik;Full;Krem Merah;149000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Batik;Area Bawah;Biru Krem;149000;Tinggi
Katun;Navy;Straight Collar;Lengan Panjang;Batik;Full;Biru Coklat;169000;Tinggi
Katun;Biru;Straight Collar;Lengan Panjang;Batik;Full;Navy Coklat;169000;Rendah
Katun;Biru;Straight Collar;Lengan Panjang;Batik;Full;Putih Navy;169000;Tinggi
Katun;Hitam;Straight Collar;Lengan Pendek;Batik;Full;Coklat Kuning;149000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Coklat Putih;169000;Tinggi
Katun;Hitam;Straight Collar;Lengan Pendek;Batik;Full;Putih Coklat;149000;Rendah
Katun;Biru;Straight Collar;Lengan Pendek;Batik;Full;Putih Krem;149000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Coklat Merah;169000;Rendah
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Full;Coklat Krem;169000;Rendah
Katun;Coklat;Straight Collar;Lengan Pendek;Batik;Full;Krem Biru;149000;Rendah
Katun;Navy;Straight Collar;Lengan Panjang;Batik;Area Bawah;Krem Coklat;169000;Tinggi
Katun;Merah;Straight Collar;Lengan Pendek;Batik;Full;Biru Merah;149000;Rendah
Katun;Hitam;Straight Collar;Lengan Pendek;Batik;Full;Krem Coklat;149000;Rendah
Katun;Hitam;Straight Collar;Lengan Pendek;Batik;Full;Krem Oren;109000;Rendah
Katun;Navy;Straight Collar;Lengan Pendek;Batik;Full;Krem Merah;109000;Rendah
Katun;Krem;Straight Collar;Lengan Panjang;Batik;Full;Biru Hitam;169000;Tinggi
Katun;Hitam;Straight Collar;Lengan Panjang;Batik;Area Atas;Krem Coklat;169000;Rendah
Katun;Navy;Straight Collar;Lengan Panjang;Batik;Area Bawah;Krem Coklat;169000;Tinggi
Katun;Coklat;Straight Collar;Lengan Panjang;Batik;Area Bawah;Krem Coklat;169000;Rendah
Katun;Navy;Straight Collar;Lengan Panjang;Batik;Area Atas;Krem Coklat;169000;Rendah
Katun;Coklat;Straight Collar;Lengan Panjang;Batik;Full;Krem Hitam;169000;Tinggi
Katun;Putih;Straight Collar;Lengan Panjang;Batik;Full;Coklat Hitam;169000;Tinggi
Katun;Biru;Straight Collar;Lengan Panjang;Batik;Full;Putih Hitam;169000;Tinggi
